index,frequency_Hz,rcs_m2
205,263941991.3078275,2.6461654680232372e-08
206,268211050.8842966,2.8215106517305704e-08
207,272549159.23006964,3.0084730769221385e-08
208,276957433.15610987,3.207822244279082e-08
209,281437007.5369459,3.4203786060566546e-08
210,285989035.60282934,3.64701693791612e-08
211,290614689.2366291,3.888669933706962e-08
212,295315159.27552223,4.1463320379213846e-08
213,300091655.81756353,4.4210635315141464e-08
214,304945408.53322107,4.713994887815299e-08
215,309877666.98193735,5.0263314163634324e-08
216,314889700.933823,5.359358213664308e-08
217,319982800.69654655,5.7144454411283125e-08
218,325158277.4475188,6.09305395177585e-08
219,330417463.57143724,6.496741288718423e-08
220,335761713.0033026,6.927168079940487e-08
221,341192401.57697743,7.386104855517624e-08
222,346710927.3793821,7.875439315127151e-08
223,352318711.11042625,8.397184075539578e-08
224,358017196.4487484,8.953484929728487e-08
225,363807850.42338485,9.546629651319857e-08
226,369692163.79144317,1.0179057380313327e-07
227,375671651.4218839,1.0853368628370384e-07
228,381747852.6855173,1.1572335944479352e-07
229,387922331.8512933,1.2338915284482822e-07
230,394196678.4890156,1.3156258130812109e-07
231,400572507.8785619,1.4027724411807996e-07
232,407051461.4257236,1.4956896273248363e-07
233,413635207.08477855,1.5947592758152734e-07
234,420325439.7878826,1.7003885454603638e-07
235,427123881.8814231,1.8130115175245524e-07
236,434032283.5694211,1.9330909736281466e-07
237,441052423.3641054,2.0611202908232209e-07
238,448186108.5437837,2.1976254615448581e-07
239,455435175.61810076,2.3431672466396342e-07
240,462801490.80084026,2.498343470210522e-07
241,470286950.49036443,2.6637914655868843e-07
242,477893481.7578251,2.840190682336915e-07
243,485623042.8432798,3.028265464886719e-07
244,493477623.6598134,3.228788013998694e-07
245,501459246.3058333,3.442581543096428e-07
246,509569965.58563966,3.670523642202969e-07
247,517811869.53841674,3.913549863090905e-07
248,526187079.9757897,4.172657540127738e-07
249,534697753.0280557,4.448909862239991e-07
250,543346079.6992701,4.743440212423764e-07
251,552134286.4312989,5.057456792293512e-07
252,561064635.6770066,5.392247550296854e-07
253,570139426.4826938,5.749185433428656e-07
254,579360995.0799766,6.129733983564299e-07
255,588731715.4872255,6.535453300895318e-07
256,598254000.1207479,6.96800639840619e-07
257,607930300.4158297,7.429165972873249e-07
258,617763107.457848,7.920821619514097e-07
259,627754952.6235777,8.444987519159408e-07
260,637908408.2328725,9.003810628678649e-07
261,648226088.2108971,9.599579407366108e-07
262,658710648.761046,1.0234733114089878e-06
263,669364789.0487727,1.0911871712241027e-06
264,680191251.896464,1.1633766421885268e-06
265,691192824.4895561,1.240337096103949e-06
266,702372339.0940833,1.3223833520669156e-06
267,713732673.7858056,1.4098509520837425e-06
268,725276753.1911572,1.5030975198458444e-06
269,737007549.240165,1.6025042080297746e-06
270,748928081.9315451,1.708477239826246e-06
271,761041420.1101893,1.8214495507624192e-06
272,773350682.2571961,1.9418825372630436e-06
273,785859037.2927105,2.0702679188018384e-06
274,798569705.3917344,2.2071297209225187e-06
275,811485958.8131304,2.3530263868637775e-06
276,824611122.7420526,2.5085530260039756e-06
277,837948576.1459683,2.6743438078496763e-06
278,851501752.6445594,2.851074510832344e-06
279,865274141.3936764,3.0394652357458837e-06
280,879269287.9835901,3.2402832942603465e-06
281,893490795.3517895,3.454346283582805e-06
282,907942324.7105074,3.6825253590061233e-06
283,922627596.4892842,3.925748716795156e-06
284,937550391.292759,4.185005300603276e-06
285,952714550.8739517,4.46134874539647e-06
286,968123979.1233068,4.7559015736873174e-06
287,983782643.0736955,5.069859659743921e-06
288,999694573.9217117,5.404496978349239e-06
289,1015863868.0654665,5.761170655633026e-06
290,1032294688.1591698,6.141326340492845e-06
291,1048991264.1847874,6.546503916155593e-06
292,1065957894.540992,6.978343572507056e-06
293,1083198947.1497624,7.438592260938155e-06
294,1100718860.5808837,7.929110554612787e-06
295,1118522145.194595,8.451879938255294e-06
296,1136613384.3027623,9.009010552788069e-06
297,1154997235.3488114,9.602749421401178e-06
298,1173678431.106743,1.0235489184917e-05
299,1192661780.8995688,1.0909777375606881e-05
300,1211952171.8374014,1.1628326259909542e-05
301,1231554570.0756218,1.239402328179863e-05
302,1251474022.0933716,1.3209942139806574e-05
303,1271715655.992722,1.407935453194304e-05
304,1292284682.8188844,1.5005742603908742e-05
305,1313186397.901719,1.5992812137075277e-05
306,1334426182.2189977,1.7044506513659433e-05
307,1356009503.781686,1.816502149730471e-05
308,1377941919.0416338,1.9358820867869256e-05
309,1400229074.3220615,2.0630652949545405e-05
310,1422876707.2711267,2.1985568071424055e-05
311,1445890648.3390574,2.3428936999225842e-05
